Designator,Mid X,Mid Y,Rotation,Layer
D1,217.356949,-58.987407,90.0,bottom
D10,160.206949,-68.512407,90.0,bottom
D11,141.156949,-73.274907,90.0,bottom
D12,122.106949,-78.037407,90.0,bottom
D13,217.356949,-97.087407,90.0,bottom
D14,198.306949,-97.087407,90.0,bottom
D15,179.256949,-92.324907,90.0,bottom
D16,160.206949,-87.562407,90.0,bottom
D17,141.156949,-92.324907,90.0,bottom
D18,122.106949,-97.087407,90.0,bottom
D19,147.846949,-111.287407,61.0,bottom
D2,198.306949,-58.987407,90.0,bottom
D20,129.956949,-118.437407,61.0,bottom
D21,113.331875,-127.654268,61.0,bottom
D22,102.956949,-108.937407,61.0,bottom
D3,179.256949,-54.224907,90.0,bottom
D4,160.206949,-49.462407,90.0,bottom
D5,141.156949,-54.224907,90.0,bottom
D6,122.102449,-58.099452,90.0,bottom
D7,217.356949,-78.037407,90.0,bottom
D8,198.306949,-78.037407,90.0,bottom
D9,179.256949,-73.274907,90.0,bottom
LED1,209.431949,-64.067407,0.0,bottom
LED10,152.281949,-73.592407,0.0,bottom
LED11,133.231949,-78.354907,0.0,bottom
LED12,114.181949,-83.117407,0.0,bottom
LED13,209.431949,-102.167407,0.0,bottom
LED14,190.381949,-102.167407,0.0,bottom
LED15,171.331949,-97.404907,0.0,bottom
LED16,152.281949,-92.642407,0.0,bottom
LED17,133.231949,-97.404907,0.0,bottom
LED18,114.181949,-102.167407,0.0,bottom
LED19,143.314782,-119.577976,331.0,bottom
LED2,190.381949,-64.067407,0.0,bottom
LED20,125.483142,-126.714286,331.0,bottom
LED21,108.828227,-135.950134,331.0,bottom
LED22,98.453301,-117.233273,331.0,bottom
LED3,171.331949,-59.304907,0.0,bottom
LED4,152.281949,-54.542407,0.0,bottom
LED5,133.231949,-59.304907,0.0,bottom
LED6,114.181949,-64.067407,0.0,bottom
LED7,209.431949,-83.117407,0.0,bottom
LED8,190.381949,-83.117407,0.0,bottom
LED9,171.331949,-78.354907,0.0,bottom
S1,209.431949,-58.987407,0.0,top
S10,152.281949,-68.512407,0.0,top
S11,133.231949,-73.274907,0.0,top
S12,114.181949,-78.037407,0.0,top
S13,209.431949,-97.087407,0.0,top
S14,190.381949,-97.087407,0.0,top
S15,171.331949,-92.324907,0.0,top
S16,152.281949,-87.562407,0.0,top
S17,133.231949,-92.324907,0.0,top
S18,114.181949,-97.087407,0.0,top
S19,140.851949,-115.134908,29.0,top
S2,190.381949,-58.987407,0.0,top
S20,123.026385,-122.270515,29.0,top
S21,106.365394,-131.507066,29.0,top
S22,95.990468,-112.790205,29.0,top
S3,171.331949,-54.224907,0.0,top
S4,152.281949,-49.462407,0.0,top
S5,133.231949,-54.224907,0.0,top
S6,114.181949,-58.987407,0.0,top
S7,209.431949,-78.037407,0.0,top
S8,190.381949,-78.037407,0.0,top
S9,171.331949,-73.274907,0.0,top
U1,92.992449,-68.989452,0.0,bottom
U2,87.735157,-96.209451,90.0,top
